HS,URAIAN,2020,2021,2022,2023,2024,Trend (%)  2020 -  2024,Perub (%)  2024 -  2023,Peran (%)  2024,Jan-Mei,Jan-Mei,Perub (%)  2025/  2024,Peran (%)  2025
42.0,Barang dari kulit samak,640.7,1010.3,1267.2,1178.7,1351.6,17.9,14.67,0.54,568.6,622.2,9.42,0.59
33.0,Minyak atsiri dan resinoida,784.9,880.9,826.7,842.8,989.6,4.28,17.42,0.39,373.2,472.8,26.68,0.45
8.0,Buah dan buah bertempurung yang dapat dimakan,934.3,1035.8,948.7,637.6,967.9,-4.06,51.8,0.39,382.7,611.7,59.83,0.58
90.0,"Instrumen dan aparatus optik, fotografi, sinematografi, pengukur, pemeriksa, presisi, medis atau bedah",635.6,725.8,835.3,863.3,890.3,8.84,3.13,0.36,340.8,335.2,-1.64,0.32
89.0,"Kapal, perahu dan struktur terapung",231.0,144.6,1253.6,827.2,853.8,54.62,3.22,0.34,351.4,616.7,75.48,0.58
95.0,"Mainan, permainan dan keperluan olah raga",500.5,623.4,747.9,677.3,790.9,10.49,16.78,0.32,273.3,328.8,20.33,0.31
30.0,Produk farmasi,592.7,556.0,643.3,663.5,748.6,6.65,12.82,0.3,294.4,287.5,-2.33,0.27
54.0,Filamen buatan,552.5,687.3,753.0,723.2,692.6,5.16,-4.23,0.28,298.3,248.1,-16.83,0.23
4.0,Produk susu,597.1,581.4,662.3,695.0,621.5,2.62,-10.58,0.25,268.0,231.2,-13.73,0.22
92.0,Instrumen musik,561.5,759.1,799.6,648.8,614.7,0.24,-5.26,0.25,243.7,250.1,2.65,0.24
31.0,Pupuk,701.6,863.7,1177.6,656.3,574.0,-6.54,-12.54,0.23,257.0,234.7,-8.68,0.22
14.0,Bahan anyaman nabati,316.7,417.7,494.8,628.9,554.4,16.52,-11.86,0.22,231.2,240.7,4.12,0.23
17.0,Gula dan kembang gula,307.5,527.0,576.1,514.7,527.4,11.13,2.47,0.21,167.0,153.6,-8.01,0.14
25.0,Garam,399.6,519.2,486.2,563.9,524.6,6.47,-6.98,0.21,215.8,249.2,15.46,0.23
32.0,Ekstrak penyamak atau pencelup,395.3,494.9,494.7,493.0,501.3,4.83,1.69,0.2,203.2,197.8,-2.67,0.19
20.0,"Olahan dari sayuran, buah, biji/kacang atau bagian lain dari tanaman",332.6,405.2,428.3,378.4,453.6,5.68,19.88,0.18,162.6,163.3,0.43,0.15
52.0,Kapas,644.8,867.7,664.2,497.0,443.9,-12.23,-10.69,0.18,195.7,185.1,-5.44,0.17
12.0,Biji dan buah mengandung minyak,307.0,346.9,557.7,450.2,412.6,8.89,-8.34,0.16,143.1,213.8,49.44,0.2
88.0,"Kendaraan udara, kendaraan luar angkasa, dan bagiannya",46.5,90.3,93.7,162.8,356.5,59.39,119.07,0.14,195.6,75.8,-61.25,0.07
70.0,Kaca dan barang dari kaca,278.3,309.7,333.7,349.4,355.1,6.27,1.66,0.14,144.8,173.0,19.45,0.16
96.0,Bermacam-macam barang hasil pabrik,361.8,388.5,406.1,337.3,348.2,-2.15,3.25,0.14,141.0,126.9,-9.96,0.12
69.0,Produk Keramik,274.7,373.8,338.2,272.5,299.6,-1.42,9.94,0.12,119.3,110.8,-7.11,0.1
67.0,Bulu dan bulu halus unggas olahan serta barang dibuat dari bulu atau bulu halus unggas,390.6,424.3,436.9,330.0,255.1,-10.45,-22.69,0.1,114.7,85.1,-25.78,0.08
22.0,"Minuman, alkohol dan cuka",132.0,174.2,190.2,192.3,227.2,12.56,18.16,0.09,81.2,130.6,60.91,0.12
13.0,Lak,144.2,193.9,275.3,213.6,210.2,8.88,-1.58,0.08,82.6,74.7,-9.54,0.07
68.0,"Barang dari batu, plester, semen, asbes, mika atau bahan semacam itu",131.7,163.0,158.4,170.5,200.6,9.27,17.63,0.08,76.8,84.6,10.28,0.08
7.0,Sayuran dan akar serta bonggol tertentu yang dapat dimakan,166.0,126.6,99.3,131.5,156.3,-0.82,18.87,0.06,38.0,31.5,-17.15,0.03
56.0,"Gumpalan, kain kempa dan bukan tenunan",164.7,168.0,158.6,146.3,148.5,-3.39,1.49,0.06,62.4,66.5,6.59,0.06
60.0,Kain rajutan atau kain kaitan,119.0,120.2,130.5,120.6,133.5,2.35,10.71,0.05,55.1,54.4,-1.28,0.05
81.0,Logam tidak mulia lainnya,8.6,54.6,161.3,112.3,125.9,83.98,12.11,0.05,55.0,98.1,78.54,0.09
63.0,Barang tekstil sudah jadi lainnya,314.1,189.1,163.6,140.9,120.6,-19.82,-14.46,0.05,44.5,47.4,6.57,0.04
59.0,"Kain tekstil diresapi, dilapisi, ditutupi atau dilaminasi",105.1,142.7,178.3,131.6,118.2,1.55,-10.17,0.05,52.4,31.5,-39.82,0.03
83.0,Bermacam-macam barang dari logam tidak mulia,93.5,111.4,114.1,104.4,106.9,2.05,2.34,0.04,40.5,47.5,17.15,0.04
46.0,"Barang dari jerami, dari rumput esparto dan dari bahan anyaman lainnya",104.9,140.5,127.4,94.9,101.3,-4.52,6.74,0.04,42.2,37.9,-10.29,0.04
11.0,Produk industri penggilingan,96.5,206.8,98.8,186.4,94.5,-1.43,-49.29,0.04,38.1,32.5,-14.83,0.03
65.0,Tutup kepala dan bagiannya,62.8,77.5,91.9,87.6,92.5,9.39,5.53,0.04,37.5,43.5,15.87,0.04
82.0,"Perkakas, peralatan, barang tajam, sendok dan garpu, dari logam tidak mulia",90.0,110.4,115.7,99.0,91.9,-0.67,-7.15,0.04,38.7,34.2,-11.72,0.03
41.0,Hide dan skin mentah (selain kulit berbulu) dan kulit samak,61.7,86.5,106.6,89.8,86.0,7.24,-4.28,0.03,36.4,31.9,-12.3,0.03
35.0,Zat albumina,57.1,61.0,66.8,69.3,69.7,5.39,0.61,0.03,26.9,28.6,6.21,0.03
78.0,Timbal dan barang daripadanya,9.6,10.8,13.3,35.6,57.2,61.09,60.68,0.02,19.4,30.8,59.34,0.03
49.0,"Buku, koran, gambar cetakan dan produk lainnya dari industri percetakan",37.1,58.5,33.4,33.5,48.5,-0.25,44.8,0.02,12.7,12.4,-2.12,0.01
5.0,"Produk hewani, tidak dirinci atau termasuk dalam pos lain",24.1,31.2,37.5,42.4,45.3,16.99,6.78,0.02,17.9,18.9,5.6,0.02
58.0,Kain tenunan khusus,32.8,43.9,41.2,34.5,41.4,2.27,19.92,0.02,17.1,16.3,-4.39,0.02
57.0,Karpet dan tekstil penutup lantai lainnya,46.9,53.7,47.8,41.2,40.4,-5.49,-1.87,0.02,15.4,17.0,10.37,0.02
86.0,"Lokomotif kereta api atau trem, kendaraan yang bergerak diatas rel dan bagiannya",94.9,24.0,22.5,31.6,38.6,-14.12,22.17,0.02,12.7,16.9,33.63,0.02
79.0,Seng dan barang daripadanya,22.0,37.6,42.1,33.2,33.0,7.12,-0.75,0.01,10.8,18.3,69.35,0.02
91.0,Jam dan arloji serta bagiannya,30.4,31.1,28.9,25.7,26.7,-4.41,4.01,0.01,10.8,8.9,-17.26,0.01
2.0,Daging dan sisa daging yang dapat dimakan,14.2,15.7,20.0,20.7,21.7,11.94,4.57,0.01,8.2,6.1,-25.67,0.01
93.0,Senjata dan amunisi,0.3,1.4,3.3,11.5,21.7,195.77,88.28,0.01,6.0,0.1,-98.75,0.0
6.0,Pohon hidup dan tanaman lainnya,18.5,24.2,22.3,19.9,21.3,0.86,6.71,0.01,8.8,9.2,4.66,0.01
10.0,Serealia,17.5,6.8,51.9,31.1,17.4,16.16,-44.06,0.01,0.8,1.3,63.21,0.0
99.0,"Piranti lunak, barang digital dan barang kiriman",49.9,14.2,21.5,14.2,14.6,-21.78,2.54,0.01,5.9,4.9,-17.08,0.0
36.0,Bahan peledak,8.9,8.4,7.3,6.4,9.3,-1.87,44.73,0.0,3.8,3.7,-4.18,0.0
97.0,"Karya seni, barang kolektor dan barang antik",6.4,6.7,6.0,4.9,7.0,-1.45,41.33,0.0,2.4,3.2,33.75,0.0
53.0,Serat tekstil nabati lainnya,11.2,12.3,8.4,6.4,6.6,-15.72,3.51,0.0,2.5,3.3,29.89,0.0
1.0,Binatang hidup,80.4,61.9,63.9,27.2,5.4,-46.3,-80.08,0.0,1.5,3.5,129.62,0.0
98.0,Kendaraan bermotor dan komponennya (terbongkar tidak lengkap),0.0,0.0,0.4,0.8,2.4,0.0,202.91,0.0,1.5,0.6,-61.35,0.0
37.0,Barang fotografi atau sinematografi,1.5,1.2,1.6,1.7,2.2,10.71,27.45,0.0,0.6,0.7,11.92,0.0
66.0,"Payung, payung panas, tongkat jalan, tongkat duduk, cambuk, pecut dan bagiannya",1.6,2.1,2.5,2.7,2.0,7.1,-26.85,0.0,0.8,0.7,-12.9,0.0
43.0,Kulit berbulu dan bulu artifisial,0.3,0.5,1.4,1.6,0.7,36.76,-54.46,0.0,0.3,0.0,-92.53,0.0
51.0,"Wol, bulu hewan halus atau kasar",0.8,0.8,0.7,0.4,0.5,-14.26,18.63,0.0,0.0,0.3,673.16,0.0
45.0,Gabus dan barang dari gabus,0.2,0.0,0.2,0.1,0.2,8.11,243.63,0.0,0.1,0.0,-80.01,0.0
50.0,Sutra,0.2,0.1,0.2,0.2,0.1,-5.15,-56.21,0.0,0.1,0.0,-89.92,0.0
